Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,24.5,23.84375,23.84375,24.3125,5055000.0,12.037989616394043
2000-01-04,24.875,24.0,24.3125,24.0,6181400.0,11.88325309753418
2000-01-05,25.09375,24.0,24.0,24.5625,6398600.0,12.161773681640625
2000-01-06,26.125,25.28125,25.28125,25.8125,5140600.0,12.780689239501953
2000-01-07,27.5625,26.375,26.375,26.65625,6360200.0,13.198465347290039
2000-01-10,27.28125,25.75,26.65625,25.78125,3682200.0,12.765223503112793
2000-01-11,26.59375,25.375,25.78125,25.375,3945600.0,12.564069747924805
2000-01-12,26.15625,25.5625,25.5625,25.8125,3401000.0,12.780689239501953
2000-01-13,26.6875,26.03125,26.03125,26.09375,3129400.0,12.919955253601074
2000-01-14,26.4375,25.9375,26.09375,25.96875,3044400.0,12.858059883117676
2000-01-18,25.875,24.9375,25.875,24.96875,4054200.0,12.519599914550781
2000-01-19,25.34375,24.65625,24.96875,24.65625,3424600.0,12.362914085388184
2000-01-20,24.96875,23.53125,24.65625,23.5625,4279200.0,11.814497947692871
2000-01-21,23.96875,22.8125,23.5625,23.6875,5000000.0,11.877174377441406
2000-01-24,23.625,22.53125,23.625,22.65625,5385600.0,11.360092163085938
2000-01-25,22.5,21.28125,22.5,21.8125,6084200.0,10.937027931213379
2000-01-26,22.84375,21.6875,21.8125,22.46875,4188200.0,11.266080856323242
2000-01-27,22.78125,22.0,22.46875,22.28125,3340800.0,11.172061920166016
2000-01-28,22.59375,21.75,22.28125,21.75,4851600.0,10.90568733215332
2000-01-31,21.96875,21.21875,21.75,21.21875,3677000.0,10.63931655883789
2000-02-01,22.03125,21.375,21.375,21.59375,2930200.0,10.827340126037598
2000-02-02,22.375,21.4375,21.59375,21.71875,2933600.0,10.890018463134766
2000-02-03,21.625,21.0625,21.625,21.15625,4343400.0,10.607972145080566
2000-02-04,21.40625,20.625,21.15625,21.15625,4122000.0,10.607972145080566
2000-02-07,20.90625,20.375,20.90625,20.625,4089800.0,10.34160041809082
2000-02-08,20.75,20.0,20.625,20.5,5848400.0,10.278923988342285
2000-02-09,20.59375,19.5625,20.5,19.5625,5934800.0,9.808855056762695
2000-02-10,19.78125,18.8125,19.5625,19.03125,5807400.0,9.542479515075684
2000-02-11,18.9375,17.4375,18.9375,18.0,11944800.0,9.025398254394531
2000-02-14,19.46875,18.125,18.125,19.3125,6787800.0,9.683501243591309
2000-02-15,20.375,19.3125,19.3125,20.0,6048200.0,10.028220176696777
2000-02-16,20.3125,19.40625,20.0,19.59375,3881400.0,9.824522018432617
2000-02-17,19.5625,18.84375,19.5625,19.34375,3824200.0,9.699167251586914
2000-02-18,19.1875,18.6875,19.1875,18.84375,3017800.0,9.44846248626709
2000-02-22,19.4375,18.75,18.84375,19.15625,4028800.0,9.605154037475586
2000-02-23,19.34375,18.59375,19.15625,18.90625,4894400.0,9.479801177978516
2000-02-24,18.9375,18.125,18.90625,18.125,4488200.0,9.08807373046875
2000-02-25,18.75,17.9375,18.125,18.0,4139800.0,9.025398254394531
2000-02-28,18.3125,17.6875,18.0,17.78125,3319200.0,8.915715217590332
2000-02-29,18.21875,17.5,17.78125,17.53125,4805800.0,8.790358543395996
2000-03-01,17.90625,17.4375,17.53125,17.4375,4841600.0,8.743354797363281
2000-03-02,17.5,17.09375,17.4375,17.21875,3956000.0,8.633667945861816
2000-03-03,18.65625,17.25,17.25,18.1875,4805800.0,9.119413375854492
2000-03-06,19.0,18.21875,18.21875,18.34375,5260400.0,9.19775390625
2000-03-07,18.25,16.75,18.25,16.90625,8780800.0,8.476980209350586
2000-03-08,18.21875,17.3125,17.3125,17.46875,5772000.0,8.75901985168457
2000-03-09,17.6875,17.125,17.46875,17.625,4904400.0,8.837372779846191
2000-03-10,18.375,17.40625,17.625,17.84375,5335400.0,8.947056770324707
2000-03-13,18.0625,17.5,17.84375,17.8125,3304800.0,8.931381225585938
2000-03-14,18.59375,17.875,17.875,17.90625,6545400.0,8.978391647338867
2000-03-15,19.53125,17.8125,17.90625,19.125,6827400.0,9.589482307434082
2000-03-16,20.8125,19.46875,19.46875,20.34375,7723400.0,10.200579643249512
2000-03-17,20.15625,19.53125,20.15625,19.8125,4798800.0,9.93420124053955
2000-03-20,20.28125,19.21875,19.8125,19.25,4407600.0,9.652158737182617
2000-03-21,20.03125,19.21875,19.25,19.90625,3065800.0,9.981212615966797
2000-03-22,19.8125,19.375,19.8125,19.46875,2487200.0,9.76184368133545
2000-03-23,20.09375,19.625,19.625,19.78125,3596000.0,9.918536186218262
2000-03-24,20.0,19.625,19.78125,19.75,2277600.0,9.902862548828125
2000-03-27,20.3125,19.5,19.75,19.53125,2241200.0,9.793181419372559
2000-03-28,19.5625,19.15625,19.53125,19.15625,2619200.0,9.605154037475586
2000-03-29,19.78125,18.84375,19.15625,19.5,3778000.0,9.777514457702637
2000-03-30,20.65625,19.4375,19.5,20.375,4877800.0,10.21624755859375
2000-03-31,20.5625,19.65625,20.375,19.71875,4850400.0,9.887197494506836
2000-04-03,21.125,19.71875,19.71875,20.9375,4664200.0,10.498290061950684
2000-04-04,22.0625,20.4375,20.9375,21.71875,7259000.0,10.890018463134766
2000-04-05,21.9375,21.125,21.71875,21.21875,3759200.0,10.63931655883789
2000-04-06,21.8125,21.125,21.21875,21.15625,2104800.0,10.607972145080566
2000-04-07,21.21875,20.625,21.15625,20.6875,2937400.0,10.372940063476562
2000-04-10,21.0625,20.5625,20.6875,20.71875,1890600.0,10.388609886169434
2000-04-11,21.625,20.8125,20.8125,21.03125,3531600.0,10.545295715332031
2000-04-12,22.375,21.375,21.375,21.71875,4224400.0,10.890018463134766
2000-04-13,22.4375,20.90625,21.71875,21.0,4334200.0,10.529630661010742
2000-04-14,21.0,20.09375,21.0,20.25,4287000.0,10.15357494354248
2000-04-17,21.21875,20.125,20.25,20.46875,3754200.0,10.263257026672363
2000-04-18,21.75,19.6875,20.46875,20.125,9957200.0,10.090897560119629
2000-04-19,19.46875,18.5,19.46875,18.8125,8557000.0,9.587624549865723
2000-04-20,19.15625,18.75,18.8125,19.0,4924600.0,9.683181762695312
2000-04-24,19.5625,19.09375,19.09375,19.5,3312200.0,9.938004493713379
2000-04-25,20.25,19.5,19.5,20.0625,4381400.0,10.22468090057373
2000-04-26,20.34375,19.75,20.0625,19.875,4544400.0,10.129120826721191
2000-04-27,20.21875,19.46875,19.875,20.0625,2903600.0,10.22468090057373
2000-04-28,20.5,19.625,20.0625,19.71875,3741600.0,10.049484252929688
2000-05-01,19.84375,19.40625,19.71875,19.40625,2637800.0,9.890225410461426
2000-05-02,19.96875,19.03125,19.40625,19.8125,2840800.0,10.097264289855957
2000-05-03,19.6875,19.25,19.6875,19.4375,2442600.0,9.906150817871094
2000-05-04,19.46875,18.9375,19.4375,18.96875,2377000.0,9.667254447937012
2000-05-05,19.6875,18.9375,18.96875,19.53125,2544600.0,9.95392894744873
2000-05-08,19.875,19.28125,19.53125,19.46875,2078600.0,9.922077178955078
2000-05-09,20.0,18.96875,19.46875,19.0,3078800.0,9.683181762695312
2000-05-10,19.21875,18.78125,19.0,19.1875,2391400.0,9.778735160827637
2000-05-11,19.78125,18.84375,19.1875,19.40625,2617600.0,9.890225410461426
2000-05-12,19.9375,19.3125,19.40625,19.6875,1927800.0,10.033560752868652
2000-05-15,20.375,19.78125,19.78125,20.28125,3531000.0,10.336161613464355
2000-05-16,20.875,20.09375,20.28125,20.125,4066000.0,10.25653076171875
2000-05-17,20.34375,19.9375,20.125,20.0,1526600.0,10.192825317382812
2000-05-18,20.0,19.25,20.0,19.40625,3559200.0,9.890225410461426
2000-05-19,20.21875,19.25,19.40625,20.03125,3942200.0,10.20875072479248
2000-05-22,20.34375,19.8125,20.03125,20.09375,2443000.0,10.240602493286133
2000-05-23,20.34375,19.5,20.09375,19.75,2005600.0,10.065412521362305
2000-05-24,20.25,19.375,19.75,19.84375,2075000.0,10.113190650939941
2000-05-25,19.9375,18.90625,19.84375,19.03125,2763800.0,9.699109077453613
2000-05-26,19.40625,18.9375,19.03125,19.0625,1908200.0,9.715035438537598
2000-05-30,19.40625,19.0625,19.0625,19.15625,1614200.0,9.762813568115234
2000-05-31,19.21875,18.9375,19.15625,19.125,2925400.0,9.746888160705566
2000-06-01,20.0,19.40625,19.40625,19.875,2835400.0,10.129120826721191
2000-06-02,21.25,20.125,20.125,20.53125,4491400.0,10.463567733764648
2000-06-05,20.4375,19.28125,20.4375,20.0,3871600.0,10.192825317382812
2000-06-06,19.78125,19.09375,19.78125,19.53125,3697400.0,9.95392894744873
2000-06-07,19.40625,19.0625,19.40625,19.40625,3017600.0,9.890225410461426
2000-06-08,19.21875,18.84375,19.21875,19.0625,2418800.0,9.715035438537598
2000-06-09,19.28125,18.875,19.0625,19.125,1819600.0,9.746888160705566
2000-06-12,19.53125,18.84375,19.125,19.3125,2635600.0,9.842446327209473
2000-06-13,19.28125,18.5,19.28125,18.625,3154800.0,9.4920654296875
2000-06-14,19.125,18.5625,18.625,18.8125,3292600.0,9.587624549865723
2000-06-15,19.0,18.40625,18.8125,18.5,2703400.0,9.428361892700195
2000-06-16,18.5625,17.9375,18.5,17.96875,5510400.0,9.157614707946777
2000-06-19,18.25,17.5625,17.96875,17.5625,3703200.0,8.950575828552246
2000-06-20,17.84375,17.5,17.5625,17.53125,3212400.0,8.934646606445312
2000-06-21,17.75,17.46875,17.53125,17.5625,2569000.0,8.950575828552246
2000-06-22,17.6875,17.15625,17.5625,17.21875,3490200.0,8.775385856628418
2000-06-23,17.5625,17.21875,17.21875,17.3125,1787400.0,8.823162078857422
2000-06-26,17.84375,17.34375,17.34375,17.40625,1959000.0,8.870941162109375
2000-06-27,18.25,17.34375,17.40625,17.84375,2754800.0,9.093911170959473
2000-06-28,18.375,18.0,18.0,18.078125,2527200.0,9.213356018066406
2000-06-29,17.75,17.375,17.75,17.5,2415400.0,8.918723106384277
2000-06-30,17.65625,16.90625,17.5,16.9375,4672000.0,8.632046699523926
2000-07-03,18.03125,17.09375,17.09375,18.0,1702400.0,9.173541069030762
2000-07-05,17.71875,17.15625,17.71875,17.59375,3324600.0,8.966496467590332
2000-07-06,17.8125,17.40625,17.59375,17.40625,2433400.0,8.870941162109375
2000-07-07,17.46875,16.96875,17.40625,16.96875,3514400.0,8.647974014282227
2000-07-10,17.6875,17.09375,17.09375,17.125,3084000.0,8.727604866027832
2000-07-11,18.34375,17.25,17.25,18.0625,5056800.0,9.205389976501465
2000-07-12,18.5,17.875,18.0625,18.28125,3236600.0,9.316877365112305
2000-07-13,18.3125,17.9375,18.28125,17.96875,3438000.0,9.157614707946777
2000-07-14,18.03125,17.5625,17.96875,17.875,2999200.0,9.109837532043457
2000-07-17,18.09375,17.5,17.875,17.859375,2677200.0,9.101872444152832
2000-07-18,19.125,18.4375,18.4375,18.875,8446200.0,9.806161880493164
2000-07-19,19.28125,18.84375,18.875,18.96875,6346200.0,9.854866981506348
2000-07-20,19.21875,18.25,18.96875,18.53125,5041600.0,9.627575874328613
2000-07-21,18.59375,18.1875,18.53125,18.25,3777600.0,9.481454849243164
2000-07-24,18.25,18.0625,18.25,18.125,1660200.0,9.416511535644531
2000-07-25,18.3125,17.9375,18.125,17.9375,2363000.0,9.319101333618164
2000-07-26,17.875,17.375,17.875,17.375,3413200.0,9.026865005493164
